  Time                 , V(y1)                , V(y2)                
  9.976303418905e-02  ,5.186858692992e-01  ,1.104873362152e+00  
  9.976353420049e-02  ,2.910591815593e-01  ,1.085230334737e+00  
  9.976403421194e-02  ,6.326936321171e-02  ,1.065937899273e+00  
  9.976453422338e-02  ,-1.539583745249e-01  ,1.046992178867e+00  
  9.976503423482e-02  ,-3.419445893520e-01  ,1.028392953419e+00  
  9.976553424627e-02  ,-4.744669765563e-01  ,1.010142367430e+00  
  9.976603425771e-02  ,-5.336559871360e-01  ,9.922396954147e-01  
  9.976653426916e-02  ,-5.201443826343e-01  ,9.746783188208e-01  
  9.976703428060e-02  ,-4.454481439151e-01  ,9.574474859543e-01  
  9.976753429204e-02  ,-3.173709518950e-01  ,9.405411194023e-01  
  9.976803430349e-02  ,-1.498017190201e-01  ,9.239483779175e-01  
  9.976853431493e-02  ,4.425123483220e-02  ,9.076590690808e-01  
  9.976903432638e-02  ,2.579707780962e-01  ,8.916681306431e-01  
  9.976953433782e-02  ,4.806198122326e-01  ,8.759665975108e-01  
  9.977003434926e-02  ,7.049837281709e-01  ,8.605482111022e-01  
  9.977053436071e-02  ,9.225048052614e-01  ,8.454637608544e-01  
  9.977103437215e-02  ,1.111824327496e+00  ,8.498420970803e-01  
  9.977153438360e-02  ,1.246527938374e+00  ,9.343193766877e-01  
  9.977203439504e-02  ,1.351209997697e+00  ,1.053071636292e+00  
  9.977253440649e-02  ,1.374215065955e+00  ,1.108422945914e+00  
  9.977303441793e-02  ,1.319555444029e+00  ,1.117542772628e+00  
  9.977353442937e-02  ,1.200455677203e+00  ,1.100798417010e+00  
  9.977403444082e-02  ,1.040754952245e+00  ,1.081359707469e+00  
  9.977453445226e-02  ,8.502776837628e-01  ,1.062140584295e+00  
  9.977503446371e-02  ,6.381670590667e-01  ,1.043255181825e+00  
  9.977553447515e-02  ,4.137054307108e-01  ,1.024702290537e+00  
  9.977603448659e-02  ,1.837455641972e-01  ,1.006478219964e+00  
  9.977653449804e-02  ,-4.554434222982e-02  ,9.885788918801e-01  
  9.977703450948e-02  ,-2.651091064743e-01  ,9.710013296327e-01  
  9.977753452093e-02  ,-4.566743979815e-01  ,9.537456140775e-01  
  9.977803453237e-02  ,-5.903844104382e-01  ,9.368145752248e-01  
  9.977853454381e-02  ,-6.554723625126e-01  ,9.202074003973e-01  
  9.977903455526e-02  ,-6.456376025839e-01  ,9.039192533941e-01  
  9.977953456670e-02  ,-5.720294642905e-01  ,8.879408657333e-01  
  9.978003457815e-02  ,-4.467831462509e-01  ,8.722630760480e-01  
  9.978053458959e-02  ,-2.813294933118e-01  ,8.568772796958e-01  
  9.978103460104e-02  ,-8.738058395728e-02  ,8.417749991800e-01  
  9.978153461248e-02  ,1.244542144202e-01  ,8.269483234583e-01  
  9.978203462392e-02  ,3.454485679503e-01  ,8.123901833816e-01  
  9.978253463537e-02  ,5.681540835158e-01  ,7.980943744907e-01  
  9.978303464681e-02  ,7.835417415017e-01  ,7.840594652509e-01  
  9.978353465826e-02  ,9.751539923028e-01  ,7.732406633893e-01  
  9.978403466970e-02  ,1.107845469316e+00  ,8.128986698438e-01  
  9.978453468114e-02  ,1.196922234155e+00  ,9.008224483012e-01  
  9.978503469259e-02  ,1.218197163093e+00  ,9.499745563201e-01  
  9.978553470403e-02  ,1.162313374497e+00  ,9.593602750174e-01  
  9.978603471548e-02  ,1.043839509081e+00  ,9.454996092296e-01  
  9.978653472692e-02  ,8.837916106877e-01  ,9.288034145466e-01  
  9.978703473836e-02  ,6.920895948291e-01  ,9.122828052874e-01  
  9.978753474981e-02  ,4.790275201787e-01  ,8.960485698197e-01  
  9.978803476125e-02  ,2.536374110945e-01  ,8.801000163007e-01  
  9.978853477270e-02  ,2.281845250269e-02  ,8.644342717573e-01  
  9.978903478414e-02  ,-2.075383931735e-01  ,8.490479590636e-01  
  9.978953479558e-02  ,-4.286806156017e-01  ,8.339387897523e-01  
  9.979003480703e-02  ,-6.226830429947e-01  ,8.191075039269e-01  
  9.979053481847e-02  ,-7.623853615147e-01  ,8.045577379404e-01  
  9.979103482992e-02  ,-8.278165286451e-01  ,7.902905964486e-01  
  9.979153484136e-02  ,-8.188739938172e-01  ,7.763008172778e-01  
  9.979203485281e-02  ,-7.478884602599e-01  ,7.625786696017e-01  
  9.979253486425e-02  ,-6.229409394930e-01  ,7.491186938701e-01  
  9.979303487569e-02  ,-4.581842696943e-01  ,7.359111999441e-01  
  9.979353488714e-02  ,-2.650761607159e-01  ,7.229484677641e-01  
  9.979403489858e-02  ,-5.398517065015e-02  ,7.102233204486e-01  
  9.979453491003e-02  ,1.662815018663e-01  ,6.977292452767e-01  
  9.979503492147e-02  ,3.881891975838e-01  ,6.854604853929e-01  
  9.979553493291e-02  ,6.025264535762e-01  ,6.734114835804e-01  
  9.979603494436e-02  ,7.935369514807e-01  ,6.618931380862e-01  
  9.979653495580e-02  ,9.326058353390e-01  ,6.700786178048e-01  
  9.979703496725e-02  ,1.008330769674e+00  ,7.197735109921e-01  
  9.979753497869e-02  ,1.028536031506e+00  ,7.676295012056e-01  
  9.979803499013e-02  ,9.724691250332e-01  ,7.751616474751e-01  
  9.979853500158e-02  ,8.544995714735e-01  ,7.640347237525e-01  
  9.979903501302e-02  ,6.954077712560e-01  ,7.513277692882e-01  
  9.979953502447e-02  ,5.028730522874e-01  ,7.379467297674e-01  
  9.980003503591e-02  ,2.891527324079e-01  ,7.247969804639e-01  
  9.980053504735e-02  ,6.447196004991e-02  ,7.118782138305e-01  
  9.980103505880e-02  ,-1.669207009289e-01  ,6.991888627232e-01  
  9.980153507024e-02  ,-3.978404667702e-01  ,6.867263049563e-01  
  9.980203508169e-02  ,-6.197317033965e-01  ,6.744891016967e-01  
  9.980253509313e-02  ,-8.147488800271e-01  ,6.624788671756e-01  
  9.980303510458e-02  ,-9.555353334272e-01  ,6.507001788312e-01  
  9.980353511602e-02  ,-1.021726353058e+00  ,6.391551306874e-01  
  9.980403512746e-02  ,-1.013189131317e+00  ,6.278393229035e-01  
  9.980453513891e-02  ,-9.424368318673e-01  ,6.167439495332e-01  
  9.980503515035e-02  ,-8.176242103198e-01  ,6.058640697379e-01  
  9.980553516180e-02  ,-6.529638246538e-01  ,5.951909241072e-01  
  9.980603517324e-02  ,-4.599169287127e-01  ,5.847175781785e-01  
  9.980653518468e-02  ,-2.488599095760e-01  ,5.744376107200e-01  
  9.980703519613e-02  ,-2.860642975687e-02  ,5.643452233779e-01  
  9.980753520757e-02  ,1.933077265096e-01  ,5.544352995357e-01  
  9.980803521902e-02  ,4.076822851370e-01  ,5.447023238292e-01  
  9.980853523046e-02  ,5.988785369961e-01  ,5.351750441153e-01  
  9.980903524190e-02  ,7.426184933546e-01  ,5.299663869149e-01  
  9.980953525335e-02  ,8.166052594612e-01  ,5.481237011743e-01  
  9.981003526479e-02  ,8.305520040663e-01  ,5.767413168802e-01  
  9.981053527624e-02  ,7.764107498870e-01  ,5.836961912253e-01  
  9.981103528768e-02  ,6.604456393940e-01  ,5.755966917672e-01  
  9.981153529912e-02  ,5.008744937099e-01  ,5.654062625265e-01  
  9.981203531057e-02  ,3.092464111852e-01  ,5.553149742416e-01  
  9.981253532201e-02  ,9.615857671520e-02  ,5.453969217751e-01  
  9.981303533346e-02  ,-1.281056098385e-01  ,5.356527837603e-01  
  9.981353534490e-02  ,-3.591408232648e-01  ,5.260817254965e-01  
  9.981403535635e-02  ,-5.896120770238e-01  ,5.166823314888e-01  
  9.981453536779e-02  ,-8.108055537021e-01  ,5.074541833749e-01  
